Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/cart/cart/anonymous-42,1,0,7.364300079643726,7.364300079643726,7.364300079643726,7.364300079643726,223.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-43,1,0,7.366579957306385,7.366579957306385,7.366579957306385,7.366579957306385,200.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-44,1,0,6.204115226864815,6.204115226864815,6.204115226864815,6.204115226864815,216.0,0.01693811043348324,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/cart/cart/anonymous-45,1,0,6.565204821527004,6.565204821527004,6.565204821527004,6.565204821527004,200.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-46,1,0,6.392245180904865,6.392245180904865,6.392245180904865,6.392245180904865,220.0,0.01693811043348324,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/cart/cart/anonymous-47,1,0,6.174392066895962,6.174392066895962,6.174392066895962,6.174392066895962,200.0,0.01693811043348324,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/cart/cart/anonymous-48,1,0,6.152063608169556,6.152063608169556,6.152063608169556,6.152063608169556,213.0,0.01693811043348324,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/cart/cart/anonymous-49,1,0,6.359280087053776,6.359280087053776,6.359280087053776,6.359280087053776,125.0,0.01693811043348324,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/cart/cart/anonymous-50,1,0,7.702924311161041,7.702924311161041,7.702924311161041,7.702924311161041,203.0,0.01693811043348324,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/cart/cart/anonymous-51,1,0,73.11728969216347,73.11728969216347,73.11728969216347,73.11728969216347,221.0,0.01693811043348324,0.0,73,73,73,73,73,73,73,73,73,73,73
GET,/api/cart/cart/anonymous-52,1,0,44.38710864633322,44.38710864633322,44.38710864633322,44.38710864633322,226.0,0.01693811043348324,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/api/cart/cart/anonymous-53,1,0,8.710062131285667,8.710062131285667,8.710062131285667,8.710062131285667,179.0,0.01693811043348324,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/cart/cart/anonymous-54,1,0,6.22611865401268,6.22611865401268,6.22611865401268,6.22611865401268,121.0,0.01693811043348324,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/cart/cart/anonymous-55,1,0,8.212546817958355,8.212546817958355,8.212546817958355,8.212546817958355,209.0,0.01693811043348324,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/cart/cart/anonymous-56,1,0,8.450682274997234,8.450682274997234,8.450682274997234,8.450682274997234,130.0,0.01693811043348324,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/cart/cart/anonymous-57,1,0,9.336673654615879,9.336673654615879,9.336673654615879,9.336673654615879,201.0,0.01693811043348324,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/cart/cart/anonymous-58,1,0,69.78367641568184,69.78367641568184,69.78367641568184,69.78367641568184,104.0,0.01693811043348324,0.0,70,70,70,70,70,70,70,70,70,70,70
GET,/api/cart/cart/anonymous-59,1,0,9.006678126752377,9.006678126752377,9.006678126752377,9.006678126752377,201.0,0.01693811043348324,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/cart/cart/anonymous-60,1,0,7.495942525565624,7.495942525565624,7.495942525565624,7.495942525565624,201.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-61,1,0,6.527876481413841,6.527876481413841,6.527876481413841,6.527876481413841,190.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-62,1,0,7.802573032677174,7.802573032677174,7.802573032677174,7.802573032677174,206.0,0.01693811043348324,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/cart/cart/anonymous-63,1,0,6.527137942612171,6.527137942612171,6.527137942612171,6.527137942612171,214.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-64,1,0,6.9471923634409904,6.9471923634409904,6.9471923634409904,6.9471923634409904,216.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-65,1,0,6.539913825690746,6.539913825690746,6.539913825690746,6.539913825690746,201.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-66,1,0,6.181981414556503,6.181981414556503,6.181981414556503,6.181981414556503,216.0,0.01693811043348324,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/cart/cart/anonymous-67,1,0,6.668439134955406,6.668439134955406,6.668439134955406,6.668439134955406,205.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-68,1,0,6.9196028634905815,6.9196028634905815,6.9196028634905815,6.9196028634905815,230.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-69,1,0,6.343795917928219,6.343795917928219,6.343795917928219,6.343795917928219,210.0,0.01693811043348324,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/cart/cart/anonymous-70,1,0,82.14525878429413,82.14525878429413,82.14525878429413,82.14525878429413,205.0,0.01693811043348324,0.0,82,82,82,82,82,82,82,82,82,82,82
GET,/api/cart/cart/anonymous-71,1,0,6.393087096512318,6.393087096512318,6.393087096512318,6.393087096512318,198.0,0.01693811043348324,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/cart/cart/anonymous-72,1,0,7.075665518641472,7.075665518641472,7.075665518641472,7.075665518641472,198.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-73,1,0,8.288256824016571,8.288256824016571,8.288256824016571,8.288256824016571,179.0,0.01693811043348324,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/cart/cart/anonymous-74,1,0,6.553026847541332,6.553026847541332,6.553026847541332,6.553026847541332,179.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/cart/cart/anonymous-75,1,0,8.455217815935612,8.455217815935612,8.455217815935612,8.455217815935612,222.0,0.01693811043348324,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/cart/cart/anonymous-76,1,0,6.271259859204292,6.271259859204292,6.271259859204292,6.271259859204292,191.0,0.01693811043348324,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/cart/cart/anonymous-77,1,0,12.83531729131937,12.83531729131937,12.83531729131937,12.83531729131937,225.0,0.01693811043348324,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/cart/cart/anonymous-78,1,0,5.344931967556477,5.344931967556477,5.344931967556477,5.344931967556477,198.0,0.01693811043348324,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/api/cart/cart/anonymous-79,1,0,9.214494377374649,9.214494377374649,9.214494377374649,9.214494377374649,223.0,0.01693811043348324,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/cart/cart/anonymous-80,1,0,6.330653093755245,6.330653093755245,6.330653093755245,6.330653093755245,230.0,0.01693811043348324,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/api/cart/cart/anonymous-81,1,0,6.549050100147724,6.549050100147724,6.549050100147724,6.549050100147724,225.0,0.01693811043348324,0.0,7,7,7,7,7,7,7,7,7,7,7
